tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_m8cd2rbux2,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1682544409000,False,False,r_ao33urlbfr,52950
bo_pzhsrx743u,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1682533309000,False,False,r_es1krd7i5g,30300
bo_gp263maxzv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682359290000,False,False,r_d2iorwyb,41325
bo_7z2y39er5d,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682188290000,True,True,r_2j5pgmhw,18662
bo_4x7jb2nb8m,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1682112990000,False,False,r_672splw5a3,67700
bo_knuw9znwh2,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1682101378000,False,False,r_ry7arctkb7,31100
bo_qvr82ka26t,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682048064000,True,True,r_k3zkwcgv89,31475
bo_yh4hr538dn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1681951890000,True,True,r_1xx2wc7qv4,38250
bo_4uahywku47,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1681937789000,True,True,r_9fabh4jr,27900
bo_42pcmtu6sk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1681933494000,False,False,r_a3d9fu6w8o,38200
